Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"虞兮叹","闻人听書_","虞兮叹","Favorite Songs","Favorite","FR2X42288216","1M9AahuussqH7pst0IZHRE"
"アイスクリーム","Guiano","A","Favorite Songs","Favorite","JPZ922101656","7h7GniJOyzvfFREvFdrcke"
"LION","(G)I-DLE","I trust","Favorite Songs","Favorite","KRA491901000","40OyiVO9NtBg9R2Gpwxs3u"
"Something Just Like This","One Voice Children's Choir","Joy","Favorite Songs","Favorite","QZ22B1827484","2klTqmlGmdmPH7g0MA5bU6"
"Sing Me to Sleep","Alan Walker","Sing Me to Sleep","Favorite Songs","Favorite","NOG841611010","2Fjz5ZC5BvFdCqcnTZ3ilH"
"ハルジオン","YOASOBI","ハルジオン","Favorite Songs","Favorite","JPP302000218","7HneEBTvTra2CRYsxgMOAi"
"Love Is Gone - Acoustic","Dylan Matthew","Love Is Gone (Acoustic)","Favorite Songs","Favorite","CA5KR1969481","7F1CiKqrY44kh5cDqwHOnx"
"Believer","One Voice Children's Choir","Believer","Favorite Songs","Favorite","QZ22B2096600","1jorzuOuIw7VtUGURa1e1W"
"In The End","Tommee Profitt","In The End","Favorite Songs","Favorite","TCADO1871408","2qQg4qcqJmAalzRwhgf5mt"
"Dream It Possible","Chloé 666","Dream It Possible","Favorite Songs","Favorite","QZHN92123684","2iThPS3xkcRgg8V3ZgZWPQ"
"群青","YOASOBI","群青","Favorite Songs","Favorite","JPP302000468","0T4AitQuq8IJhWBWuZwkFA"
"All Falls Down (feat. Juliander)","Alan Walker","All Falls Down (feat. Juliander)","Favorite Songs","Favorite","NOG841715010","5yFSF6qQA1rcLsQRnBsZgb"
"だから僕は音楽を辞めた","ヨルシカ","だから僕は音楽を辞めた","Favorite Songs","Favorite","JPA651904585","5j7ixaLeGTGSv4DzKs0pCM"
"Natural","Planet in Limbo","Say Amen","Favorite Songs","Favorite","FR0W62003097","3BdBf7gvyZ4j3X4tqQg5Tc"
"After the Afterparty (feat. Lil Yachty)","Charli xcx","After the Afterparty (feat. Lil Yachty)","Favorite Songs","Favorite","GBAHS1600358","0y8Wf6ltWpGCpgqVa21QNX"
"世界線は分岐する(Instrumental)","花譜","魔法","Favorite Songs","Favorite","JPZ922011629","5085cORUXW8GEG7sh81E6b"
"まほう","花譜","魔法","Favorite Songs","Favorite","JPZ922011628","2brlIe1Fvz48bMlodXEq22"
"畢生よ","花譜","魔法","Favorite Songs","Favorite","JPZ922011622","00JQAMtjVT7VULvekn1ZH3"
"Numb","Linkin Park","Meteora","Favorite Songs","Favorite","USWB10300474","2nLtzopw4rPReszdYBJU6h"
"Lemon","Kenshi Yonezu","Lemon","Favorite Songs","Favorite","JPU901800227","7Cd17G3oNQ34OWUwS8ZxfR"
"牵丝戏","正点","牵丝戏","Favorite Songs","Favorite","HKG732001833","5GEcu7bkHX1hMDQ43ziUTU"
"You","Approaching Nirvana","Blocking the Sky","Favorite Songs","Favorite","TCABE1289101","1SU9aigSnLKwvh45sblXWv"
"深海少女 (feat. のぶなが)","ゆうゆ","早退系持論","Favorite Songs","Favorite","JPCR01206830","6MSxfduFZMHEgwJxxAp0u9"
"Monsters","Katie Sky","Monsters","Favorite Songs","Favorite","GB8MX1400041","05Kms0excTlHRel656GZ3U"
"Forgettable (feat. Olivia)","Project 46","Beautiful","Favorite Songs","Favorite","USUS11203423","464aQpCDwedVA34R0kHRC9"
"katharsis","TK from Ling tosite sigure","katharsis","Favorite Songs","Favorite","JPU901802954","7MtpXnAhLKdkXjoFaK95TB"
"Pure Sunlight","Laura Brehm","Pure Sunlight","Favorite Songs","Favorite","CA6D21001056","2ItQjU9tiT5lWQx1jxu76Q"
"Shape Of You","J.Fla","Blossom","Favorite Songs","Favorite","UKG8V1600070","61SS4fSfzrqZG4K3cW1ogO"
"Enemy feat. J.I.D. (from the series Arcane League of Legends)","Imagine Dragons","Arcane League of Legends (Soundtrack from the Animated Series)","Favorite Songs","Favorite","USUM72119916","4qXKkOZ691yYgQu4Lunrds"
"心拍数♯0822 (feat. 星乃一歌&望月穂波&初音ミク)","Leo/need","Leo/need SEKAI ALBUM vol.2","Favorite Songs","Favorite","JPX302358070","4TwatLfIYRQF2gAmlFmwzE"
"伯虎说","平生不晚","伯虎说","Favorite Songs","Favorite","HKG731698134","38pxYsXXd1lWkQXszyyWSp"
"Legends Never Die","League of Legends","Legends Never Die","Favorite Songs","Favorite","QMAF31500062","1FpVJ7HpZInE2GvhVE2TwT"
"Pasta","New Rules","Go The Distance (Extended)","Favorite Songs","Favorite","USAT22206170","6UyqJJUwOrtop3YB8eruGR"
"Scared to Be Lonely","Martin Garrix","Scared to Be Lonely","Favorite Songs","Favorite","NLM5S1600025","3ebXMykcMXOcLeJ9xZ17XH"
"Remember the Summer (Acoustic)","Ummet Ozcan","Remember the Summer (Acoustic)","Favorite Songs","Favorite","HKJ962115410","59ztHeabnSnS9i2lC701kB"
"Move Your Body","Sia","This Is Acting (Deluxe Version)","Favorite Songs","Favorite","USRC11502933","73Mfgc0HTZeNCoNrDI46sJ"
"Big Big World","Emilia","Big Big World","Favorite Songs","Favorite","SEBLM9808010","5I4xjdu4DeKUNMiufzQLoA"
"Used To","James Carter","Used To","Favorite Songs","Favorite","DEAX11900013","7fxBpWDrnSYnbMq1nXxHPw"
"STYX HELIX","MYTH & ROID","eYe's","Favorite Songs","Favorite","JPD731600476","2tcSz3bcJqriPg9vetvJLs"
"Please Don't Go","Joel Adams","Please Don't Go","Favorite Songs","Favorite","AUZN31500442","3cNjgVBKTJ1SvKhunrCdVy"
"红昭愿","音阙诗听","红昭愿","Favorite Songs","Favorite","FR2X41704285","5TM54tXxqvd2Iu6B0ueXB7"
"春娇与志明","街道办GDC","春娇与志明","Favorite Songs","Favorite","HKG732137033","4ZUzf1qWx3OaNsF5q6AFXC"
"わたしの線香","花譜","わたしの線香","Favorite Songs","Favorite","JP92N2209792","1Gp94UwuwbbS4vsLfaDiBz"
"アイロニ","majiko","アイロニ","Favorite Songs","Favorite","JPPO02001566","1OA144pXkdPDAdp8nm14Pk"
"Empty Love","Lulleaux","Empty Love (feat. Kid Princess)","Favorite Songs","Favorite","NLE802000155","63xvTDxy0PGdEZXA9sSDiJ"
"Wrap Me In Plastic - Marcus Layton Radio Edit","CHROMANCE","Wrap Me In Plastic (Marcus Layton Radio Edit)","Favorite Songs","Favorite","DEE861904185","3n2P3ipLt5mPFVaM0fJHNR"
"Deep Blue","William Black","Pages","Favorite Songs","Favorite","GBKPL1959995","3lzmoZIPWJxew5Tjyi715j"
"Lifeline","Zeraphym 六翼使徒","Lifeline","Favorite Songs","Favorite","HKG732100047","1HQnwBGjeYM0K0oCIYTA2v"
"Umbrella","Ember Island","Umbrella","Favorite Songs","Favorite","TCADE1718382","2FX5HPP1FNNuLlt2UU9os7"
"勾指起誓","洛天依","2：3","Favorite Songs","Favorite","DGA092323747","67UfB9HfVgV0ISWMFQ46be"
"Closer","The Chainsmokers","Closer","Favorite Songs","Favorite","USQX91601347","7BKLCZ1jbUBVqRi2FVlTVw"
"Ghost","Au/Ra","Ghost","Favorite Songs","Favorite","GBARL1901090","5TgS4dcUAU8EEb506d8wAT"
"Awaken","League of Legends","Awaken","Favorite Songs","Favorite","NLRD51859888","3jevgr3fYdv9wYO3IDJq2a"
"恋音と雨空","Lefty Hand Cream","1LDK","Favorite Songs","Favorite","JPPO01904976","3DafJLG3hayFxP2N6UnnQD"
"好きだから。","『ユイカ』","好きだから。","Favorite Songs","Favorite","JPPO02101687","02xwA3Ej9NPetftp9V7VZ3"
"世界は恋に落ちている","CHiCO with HoneyWorks","世界は恋に落ちている","Favorite Songs","Favorite","JPX401400045","0PWIc3fMjsnfxv2SyQ2lRx"
"PAIN","DUSTCELL","PAIN","Favorite Songs","Favorite","JPB602079987","4mfNr2MTBHQplWFtpeKXAQ"
"The end of prologue(Instrumental)","花譜","観測","Favorite Songs","Favorite","JPZ921908142","3vRkZaH4ygRjsQLAzuqw3W"
"そして花になる","花譜","観測","Favorite Songs","Favorite","JPZ921908141","4lGchYEqRlrWxdWYSyQ8dD"
"確信(Instrumental)","花譜","観測","Favorite Songs","Favorite","JPZ921908128","4u5tt69y53jenElEhNkhjY"
"POP/STARS","K/DA","POP/STARS","Favorite Songs","Favorite","NLRD51859885","5sbooPcNgIE22DwO0VNGUJ"
"Mom","蜡笔小心","Mom","Favorite Songs","Favorite","HKG732006847","1Qyn6zrpPo3B14dwA2vodm"
"summertime","cinnamons","summertime","Favorite Songs","Favorite","TCJPF1793843","172zA5Yn0YzayQWvEJuGAm"
